이름,height,weight,max
유창식,184,110,144.3
임찬규,186,91,143.1
윤지웅,180,75,136.8
심창민,186,103,145.2
김명성,181,87,140.2
서진용,184,88,146.8
한승혁,185,96,151.2
홍건희,187,97,148.1
이현호,185,80,142.2
윤영삼,181,95,138.6
이우찬,183,88,141.7
임정우,183,77,144.6
송윤준,186,78,138.9
박정준,184,100,143.9
이민호,185,90,146.6
노성호,182,100,145.5
이형범,181,80,141.5
김태형,185,82,142.5
한현희,182,98,146.2
박지훈,182,85,139.6
김원중,192,96,147.2
윤명준,178,78,142.5
문승원,180,88,143.9
임준섭,181,88,141.8
최성훈,178,75,138.9
박종윤,174,83,136.7
허건엽,178,88,139.1
김윤동,186,97,146.2
